code,銘柄,市場,規模,グループ,中計最終年度目標,還元方針,備考
7888,三光合成,プライム,,本命,営業利益率10%以上(現~6.5%)・ROE向上,7期連続増配(配当7年で3.5倍)・業績連動積極還元,478版/乙甲クロスオーバー
9628,燦HD,プライム,,本命,FY2027連結営業益58億・2031年度550会館,累進配当政策・3年で株主還元30億以上,478版/乙甲クロスオーバー
9766,コナミグループ,プライム,TOPIX Mid400,本命(留保),数値中計非開示,配当性向30%以上目処・前期+56円大幅増配,中計数値なく鉄則不完全→実績評価
7832,バンダイナムコHD,プライム,TOPIX Large70,本命(大型),2028/3期 売上1.45兆・営業益2000億・海外50%,総還元50%以上＋DOE下限3.60%(2%→引上)＋自社株買い,方針最強
8830,住友不動産,プライム,TOPIX Large70,本命(大型),経常益3000億を2027/3期に1年前倒し・3年累計9000億,累進配当継続12期連続・配当性向35%目標,方針最強
6357,三精テクノロジーズ,プライム,,有力,通期上方修正 売上730億・営業益57億・純益+36.9%,大幅増配(年80円/+25円・記念含む),478版
5101,横浜ゴム,プライム,TOPIX Mid400,有力,―(要中計確認),連続増配・配当性向20%(余地),拡張版クリーン
4578,大塚HD,プライム,TOPIX Large70,有力,―(要中計確認),安定・配当性向20%(余地),拡張版クリーン/435A採用銘柄
6005,三浦工業,プライム,TOPIX Mid400,有力,―(要中計確認),安定成長・累進的,拡張版クリーン
3640,電算,スタンダード,,監視,地域DX成長・記念配当含む増配予定,配当性向約11%(余地最大)・方針明示は弱,足元営業減益の踊り場
